Layer,Control_Mean±SD,MS_Mean±SD,F_statistic,p_value_ANOVA,p_value_Ftest,Eta_squared,Partial_Eta_squared,Interpretation,p_value_sig
ILM,33.9 ± 16.7,22.2 ± 8.9,7.690,0.008839952006469521,0.008839952006469521,0.1801416611427435,0.1801416611427435,Large,0.0088 **
NFLGCL,31.5 ± 13.1,24.8 ± 7.4,3.911,0.0558926416282882,0.05589264162828803,0.10050764250586347,0.10050764250586347,Medium,0.0559 *
IPLINL,40.7 ± 13.0,32.8 ± 5.8,6.396,0.01610111032116343,0.01610111032116343,0.15449957577159437,0.15449957577159437,Large,0.0161 *
INLOPL,44.6 ± 13.0,36.3 ± 5.3,7.330,0.01041579248333111,0.010415792483331139,0.17316478101337374,0.17316478101337374,Large,0.0104 *
OPLONL,48.1 ± 13.1,39.9 ± 5.6,6.964,0.01232927816916074,0.012329278169160867,0.16596033180010145,0.16596033180010145,Large,0.0123 *
ISOS,54.7 ± 15.7,49.8 ± 6.7,1.680,0.2033468858837626,0.2033468858837645,0.045813328533166525,0.045813328533166525,Small,0.2033
RPE,66.0 ± 13.4,57.9 ± 6.1,6.326,0.016639116796845398,0.016639116796845314,0.15308372584838148,0.15308372584838148,Large,0.0166 *
